,regnumber,regdate,shortcontent,formnamesed,actkind,acttheme
2950,1993,24.09.2015,О признании утратившими силу отдельных постановлений Законодательного Собрания Пермского края,Постановление №6970-15 от 2015-09-03,Постановление,01.14.   Правотворческая деятельность ОГВ
2951,2139,10.12.2015,Об утверждении примерного плана законотворческой деятельности Законодательного Собрания Пермского края на 2016 год,Постановление №9523-15 от 2015-11-19,Постановление,01.14.   Правотворческая деятельность ОГВ
2952,516-ПК,02.03.2020,Об использовании копий Знамени Победы в Пермском крае,Закон 743-20 от 2020-02-05,Закон,01.14.   Правотворческая деятельность ОГВ
2953,2140,10.12.2015,О постановке на контроль законов Пермского края в 2016 году,Постановление №9522-15 от 2015-11-19,Постановление,01.14.   Правотворческая деятельность ОГВ
2954,2428,16.06.2016,"О внесении изменения в постановление Законодательного Собрания Пермского края от 17.03.2016 № 2256 ""О проекте закона Пермского края ""О российском казачестве на территории Пермского края"" (первое чтение)""",Постановление №4598-16 от 2016-05-31,Постановление,01.14.   Правотворческая деятельность ОГВ
2955,1556,28.11.2019,О заслушивании информации о деятельности территориальных органов федеральных органов исполнительной власти в Пермском крае в 2020 году,Постановление №7938-19 от 2019-10-23,Постановление,01.14.   Правотворческая деятельность ОГВ
2956,,,О копии Знамени Победы,Закон 5015-15 от 2015-06-08,Закон,01.14.   Правотворческая деятельность ОГВ
2957,1161,21.02.2019,О внесении изменений в отдельные постановления Законодательного Собрания Пермского края,Постановление №909-19 от 2019-02-07,Постановление,01.14.   Правотворческая деятельность ОГВ
2958,613-ПК,02.03.2021,О внесении изменений в отдельные законы Пермского края,Закон 6798-20 от 2020-12-15,Закон,01.14.   Правотворческая деятельность ОГВ
2959,2062,15.04.2021,"О поддержке проекта федерального закона № 1128633-7 ""О внесении изменения в статью 4 Федерального закона ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации""",Постановление №2066-21 от 2021-03-29,Постановление,01.14.   Правотворческая деятельность ОГВ
2960,2058,15.04.2021,"Об информации ""О деятельности Управления Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Пермскому краю""",Постановление №2565-21 от 2021-04-15,Постановление,01.14.   Правотворческая деятельность ОГВ
2961,,,"О внесении изменений и дополнений в Закон Пермского края № 808-ПК от 12.09.2011 года ""О Контрольно-счетной палате Пермского края""",Закон 1149-14 от 2014-02-24,Закон,02. Основы государственного управления
2962,341-ПК,07.07.2014,"О внесении изменений и дополнений в Закон Пермского края ""О Контрольно-счетной палате Пермского края""",Закон 1788-14 от 2014-03-20,Закон,02. Основы государственного управления
2963,167,20.01.2022,"О присвоении муниципальному автономному общеобразовательному учреждению ""Гимназия с углубленным изучением иностранных языков"" г.Чайковского имени Кирьянова Алексея Валерьевича""",,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2964,118,25.11.2021,"О присвоении государственному бюджетному профессиональному образовательному учреждению ""Краевой индустриальный техникум"" имени Сухарева Вениамина Платоновича",Постановление №6339-21 от 2021-10-08,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2965,1254,18.04.2019,О внесении предложения о присвоении новой улице в городе Перми имени Коноплева Б.В.,Постановление №2928-19 от 2019-04-15,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2966,2098,20.05.2021,"О присвоении государственному бюджетному учреждению здравоохранения Пермского края ""Городская детская поликлиника № 4"" имени Чернышовой Ольги Евгеньевны",Постановление №3341-21 от 2021-05-17,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2967,2312,21.04.2016,"О присвоении государственному бюджетному учреждению здравоохранения Пермского края ""Большесосновская центральная районная больница"" имени Колчановой Галины Федоровны",Постановление №1571-16 от 2016-02-29,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2968,1967,18.02.2021,"О присвоении государственному бюджетному учреждению здравоохранения Пермского края ""Городская детская клиническая больница № 3"" имени Корюкиной Ирины Петровны",Постановление №1056-21 от 2021-02-12,Постановление,01.21.   Увековечивание памяти. Присвоение имен
2969,291-ПК,01.11.2018,О внесении изменений в отдельные законы Пермского края в сфере организации и обеспечения отдыха детей и их оздоровления в Пермском крае,Подготовка аннотации - Щербинина Екатерина Владимировна - 569788,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2970,445,17.08.2017,О протесте прокурора Пермского края,Постановление №5646-17 от 2017-07-19,Постановление,14. Здравоохранение. Физкультура и спорт. Туризм
2971,,,"О внесении изменений в статью 10 Закона Пермской области ""О профилактике алкоголизма, наркомании, токсикомании на территории Пермского края""",Закон 2551-14 от 2014-04-16,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2972,1189,20.02.2014,"О внесении изменений в постановление Законодательного Собрания Пермского края от 23.01.2014 № 1152 ""О проекте закона Пермского края ""О внесении изменений в Закон Пермской области ""О профилактике алкоголизма, наркомании, токсикомании на территории Пермског",Постановление №692-14 от 2014-02-06,Постановление,14. Здравоохранение. Физкультура и спорт. Туризм
2973,345-ПК,07.07.2014,"Об утверждении отчета об исполнении краевой целевой программы ""Профилактика алкоголизма, наркомании и токсикомании на 2008-2011 годы""",Закон 1346-14 от 2014-03-04,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2974,121-ПК,04.09.2017,Об обеспечении работников государственных и муниципальных учреждений Пермского края путевками на санаторно-курортное лечение и оздоровление,Закон 5757-17 от 2017-07-20,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2975,1289,22.05.2014,"О внесении изменений в постановление Законодательного Собрания Пермского края от 17.04.2014 № 1222 ""О проекте закона Пермского края ""Об утверждении отчета об исполнении краевой целевой программы ""Профилактика алкоголизма, наркомании и токсикомании на 2008-2011 годы"" (первое чтение)""",Постановление №2863-14 от 2014-04-29,Постановление,14. Здравоохранение. Физкультура и спорт. Туризм
2976,658-ПК,31.05.2016,"О внесении изменений в статью 9 Закона Пермского края ""Об организации и обеспечении отдыха детей и их оздоровления в Пермском крае""",Закон 3173-16 от 2016-04-18,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2977,321-ПК,31.03.2014,"О внесении изменений в Закон Пермской области ""О профилактике алкоголизма, наркомании, токсикомании на территории Пермского края""",Закон 8132-13 от 2013-11-29,Закон,14. Здравоохранение. Физкультура и спорт. Туризм
2978,2071,15.04.2021,"Об информации Правительства Пермского края ""Меры, предпринимаемые Правительством Пермского края по формированию здорового образа жизни населения и профилактике заболеваний, в том числе в рамках национального проекта ""Демография""",Постановление №2566-21 от 2021-04-15,Постановление,14. Здравоохранение. Физкультура и спорт. Туризм
2979,216,17.03.2022,"Об информации ""О деятельности Управления Федеральной службы государственной регистрации, кадастра и картографии по Пермскому краю""",,Постановление,11.02.03.     Государственный земельный кадастр
2980,28-ПК,02.12.2016,"О признании утратившим силу Закона Пермского края ""О случаях проведения государственной кадастровой оценки по решениям органов местного самоуправления муниципальных районов, городских округов Пермского края""",Закон 6028-16 от 2016-08-02,Закон,11.02.03.     Государственный земельный кадастр
2981,1642,20.02.2020,О законодательной инициативе,Постановление №8279-19 от 2019-11-07,Постановление,11.02.03.     Государственный земельный кадастр
2982,1120,11.12.2013,"О внесении изменения в постановление Законодательного Собрания Пермского края от 21.11.2013 № 1048 ""О проекте закона Пермского края ""Об утверждении Отчета об исполнении областной целевой программы ""Создание автоматизированной системы ведения государственн",Постановление №7958-13 от 2013-11-29,Постановление,11.02.03.     Государственный земельный кадастр
2983,1400,22.08.2019,"Об информации ""О деятельности Управления Федеральной службы государственной регистрации, кадастра и картографии по Пермскому краю""",Постановление №6055-19 от 2019-08-22,Постановление,11.02.03.     Государственный земельный кадастр
2984,52-ПК,23.12.2016,"О внесении изменений в Закон Пермского края ""О дорожном фонде Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 9569-16 от 2016-12-02,Закон,08.07.   Местные бюджеты
2985,534-ПК,03.09.2015,"О внесении изменений в Закон Пермского края ""О дорожном фонде Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 6408-15 от 2015-08-10,Закон,08.07.   Местные бюджеты
2986,479-ПК,05.05.2015,"О внесении изменения в Закон Пермского края ""О дорожном фонде Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 2992-15 от 2015-04-07,Закон,08.07.   Местные бюджеты
2987,520-ПК,03.07.2015,"О внесении изменений в Закон Пермского края ""О дорожном фонде Пермского края и о внесении изменения в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 4762-15 от 2015-06-04,Закон,08.07.   Местные бюджеты
2988,602-ПК,27.11.2020,"О внесении изменений в Закон Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",Закон 5698-20 от 2020-10-28,Закон,08.07.   Местные бюджеты
2989,489-ПК,13.12.2019,О внесении изменений в отдельные законы Пермского края,Подготовка аннотации - Вернер Мария Владимировна - 663546,Закон,08.07.   Местные бюджеты
2990,576-ПК,06.10.2020,"О внесении изменений в Закон Пермского края ""О предоставлении субсидий бюджетам муниципальных образований Пермского края из бюджета Пермского края""",Закон 3933-20 от 2020-08-13,Закон,08.07.   Местные бюджеты
2991,625-ПК,02.03.2021,"О внесении изменения в часть 1 статьи 5 Закона Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",Закон 757-21 от 2021-02-03,Закон,08.07.   Местные бюджеты
2992,331,25.08.2022,"Об информации Правительства Пермского края ""О реализации Схемы территориального планирования Пермского края в 2021 году""",,Постановление,09.05.   Градостроительство и архитектура
2993,33-ПК,10.12.2021,"О внесении изменений в статью 2 Закона Пермского края ""О перераспределении отдельных полномочий в области градостроительной деятельности между органами государственной власти Пермского края и органами местного самоуправления Пермского городского округа и внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 7582-21 от 2021-11-16,Закон,09.05.   Градостроительство и архитектура
2994,685,15.02.2018,"Об информации Правительства Пермского края ""О ходе реализации приоритетного проекта ""Формирование комфортной городской среды"" на территории Пермского края""",Постановление №1189-18 от 2018-02-13,Постановление,09.05.   Градостроительство и архитектура
2995,406-ПК,02.07.2019,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Подготовка аннотации - Берсенева Елена Викторовна - 630373,Закон,09.05.   Градостроительство и архитектура
2996,583-ПК,25.12.2015,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 8099-15 от 2015-10-07,Закон,09.05.   Градостроительство и архитектура
2997,198-ПК,05.03.2018,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 10454-17 от 2017-12-21,Закон,09.05.   Градостроительство и архитектура
2998,10-ПК,11.11.2021,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 5594-21 от 2021-08-30,Закон,09.05.   Градостроительство и архитектура
2999,,,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 5392-18 от 2018-07-19,Закон,09.05.   Градостроительство и архитектура
3000,908,16.08.2018,О протесте исполняющего обязанности прокурора Пермского края,Постановление №5685-18 от 2018-08-06,Постановление,09.05.   Градостроительство и архитектура
3001,695-ПК,09.09.2016,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 6235-16 от 2016-08-10,Закон,09.05.   Градостроительство и архитектура
3002,547-ПК,23.06.2020,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 2785-20 от 2020-05-22,Закон,09.05.   Градостроительство и архитектура
3003,5-ПК,09.11.2021,"О внесении изменения в статью 2 Закона Пермского края ""О перераспределении отдельных полномочий в области градостроительной деятельности между органами государственной власти Пермского края и органами местного самоуправления Пермского городского округа и о внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 3723-21 от 2021-05-26,Закон,09.05.   Градостроительство и архитектура
3004,1213,20.03.2014,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16.08.2012 № 362 ""Об утверждении состава постоянно действующей рабочей группы по рассмотрению вопросов градостроительства, строительства и землепользования в Пермском крае""",Постановление №1152-14 от 2014-02-26,Постановление,09.05.   Градостроительство и архитектура
3005,431-ПК,22.12.2014,"О внесении изменений в Закон Пермского края от 14.09.2011 № 805-ПК ""О градостроительной деятельности в Пермском крае""",Закон 6461-14 от 2014-09-15,Закон,09.05.   Градостроительство и архитектура
3006,446-ПК,02.03.2015,"О внесении изменения в статью 20 Закона Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 7722-14 от 2014-10-22,Закон,09.05.   Градостроительство и архитектура
3007,1471,23.10.2014,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16.08.2012 № 362 ""Об утверждении состава постоянно действующей рабочей группы по рассмотрению вопросов градостроительства, строительства и землепользования в Пермском крае""",Постановление №7252-14 от 2014-10-09,Постановление,09.05.   Градостроительство и архитектура
3008,125,17.11.2016,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16 августа 2012 г. № 362 ""Об утверждении состава постоянно действующей рабочей группы по рассмотрению вопросов градостроительства, строительства и землепользования в Пермском крае""",Постановление №8600-16 от 2016-11-03,Постановление,09.05.   Градостроительство и архитектура
3009,1646,22.01.2015,"О внесении изменения в постановление Законодательного Собрания Пермского края от 20.11.2014 № 1512 ""О проекте закона Пермского края ""О внесении изменения в статью 20 Закона Пермского края ""О градостроительной деятельности в Пермском крае"" (первое чтение)""",Постановление №391-15 от 2015-01-20,Постановление,09.05.   Градостроительство и архитектура
3010,1831,21.05.2015,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16 августа 2012 г. № 362 ""Об утверждении состава постоянно действующей рабочей группы по рассмотрению вопросов градостроительства, строительства и землепользования""",Постановление №4170-15 от 2015-05-18,Постановление,09.05.   Градостроительство и архитектура
3011,603-ПК,07.12.2020,"О перераспределении отдельных полномочий в области градостроительной деятельности между органами государственной власти Пермского края и органами местного самоуправления Пермского городского округа и о внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 5631-20 от 2020-10-26,Закон,09.05.   Градостроительство и архитектура
3012,662-ПК,07.06.2021,"О внесении изменений в Закон Пермского края ""О градостроительной деятельности в Пермском крае""",Закон 2791-21 от 2021-04-20,Закон,09.05.   Градостроительство и архитектура
3013,,,"О внесении изменений в Закон Пермской области от 31.03.2005 № 2135-468 ""Об установлении наименований представительных органов муниципальных образований, глав муниципальных образований, местных администраций в Пермском крае""",Закон 3330-18 от 2018-04-28,Закон,01.15.04.     Глава МО. Местная администрация
3014,,,О назначении членов конкурсной комиссии для проведения конкурса на замещение должности главы администрации города Кудымкара,Постановление №2780-14 от 2014-04-25,Постановление,01.15.04.     Глава МО. Местная администрация
3015,1374,21.08.2014,О заслушивании информации,Постановление №4307-14 от 2014-06-19,Постановление,01.15.04.     Глава МО. Местная администрация
3016,,,"О внесении изменений в Закон Пермского края ""О порядках определения размера арендной платы за земельные участки, находящиеся в собственности Пермского края, и земельные участки, государственная собственность на которые не разграничена, предоставленные в аренду без торгов, а также размера платы по соглашению об установлении сервитута в отношении земельных участков, находящихся в собственности Пермского края, и земельных участков, государственная собственность на которые не разграничена""",Закон 2195-16 от 2016-03-22,Закон,11.02.08.     Предоставление земельных участков
3017,503-ПК,09.07.2015,"Об установлении критериев, которым должны соответствовать объекты социально-культурного и коммунально-бытового назначения и масштабные инвестиционные проекты, для размещения (реализации) которых земельные участки предоставляются юридическим лицам в аренду без проведения торгов",Закон 3460-15 от 2015-04-20,Закон,11.02.08.     Предоставление земельных участков
3018,,,"О внесении изменений в Закон Пермского края ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами""",Закон 6985-16 от 2016-09-15,Закон,11.02.08.     Предоставление земельных участков
3019,439-ПК,08.09.2019,О внесении изменения в статью 3 Закона Пермского края «О полномочиях органов государственной власти Пермского края в сфере земельных отношений»,Закон 5069-19 от 2019-07-02,Закон,11.02.08.     Предоставление земельных участков
3020,1290,22.05.2014,О протесте прокурора Пермского края,Постановление №3079-14 от 2014-05-08,Постановление,11.02.08.     Предоставление земельных участков
3021,323-ПК,06.02.2019,"О внесении изменений в Закон Пермского края ""О порядках определения цены продажи земельных участков, находящихся в собственности Пермского края или государственная собственность на которые не разграничена, без проведения торгов, а также размера платы за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земельных участков, находящихся в собственности Пермского края, земель или земельных участков, государственная собственность на которые не разграничена""",Закон 7084-18 от 2018-09-18,Закон,11.02.08.     Предоставление земельных участков
3022,293-ПК,14.02.2014,О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами,Закон 5193-13 от 2013-08-19,Закон,11.02.08.     Предоставление земельных участков
3023,960,25.10.2013,"О внесении изменения в постановление Законодательного Собрания Пермского края от 15.08.2013 № 880 ""О проекте закона Пермского края ""О внесении изменений в отдельные законы Пермского края""",Постановление №5591-13 от 2013-09-06,Постановление,11.02.08.     Предоставление земельных участков
3024,2466,25.08.2016,"Об информации о реализации Закона Пермского края от 14.02.2014 № 293-ПК ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами"" в разрезе муниципальных образований""",Постановление №6635-16 от 2016-08-25,Постановление,11.02.08.     Предоставление земельных участков
3025,,,"О контроле за реализацией Закона Пермского края от 14.02.2014 № 293-ПК ""О беслатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами"" на территории города Перми""",Постановление №4208-16 от 2016-05-19,Постановление,11.02.08.     Предоставление земельных участков
3026,519-ПК,03.07.2015,"О внесении изменений в Закон Пермского края ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами""",Закон 4693-15 от 2015-06-02,Закон,11.02.08.     Предоставление земельных участков
3027,591-ПК,25.12.2015,"О внесении изменений в Закон Пермского края ""О порядках определения размера арендной платы за земельные участки, находящиеся в собственности Пермского края, и земельные участки, государственная собственность на которые не разграничена, предоставленные в аренду без торгов, а также размера платы по соглашению об установлении сервитута в отношении земельных участков, находящихся в собственности Пермского края, и земельных участков, государственная собственность на которые не разграничена""",Закон 7529-15 от 2015-09-17,Закон,11.02.08.     Предоставление земельных участков
3028,2381,16.06.2016,"О заслушивании информации о реализации Закона Пермского края от 14.02.2014 № 293-ПК ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами"" на территории города Перми""",Постановление №4599-16 от 2016-05-31,Постановление,11.02.08.     Предоставление земельных участков
3029,182-ПК,09.02.2018,О внесении изменений в отдельные законы Пермского края в сфере земельных отношений,Закон 9061-17 от 2017-11-14,Закон,11.02.08.     Предоставление земельных участков
3030,248-ПК,15.06.2018,"О внесении изменений в Закон Пермского края ""О внесении изменений в отдельные законы Пермского края в сфере земельных отношений""",Закон 2667-18 от 2018-04-10,Закон,11.02.08.     Предоставление земельных участков
3031,29-ПК,02.12.2016,"О внесении изменений в Закон Пермского края ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами""",Закон 6506-16 от 2016-08-19,Закон,11.02.08.     Предоставление земельных участков
3032,338-ПК,06.02.2019,"О признании утратившими силу отдельных Законов Пермской области, Пермского края в сфере земельных отношений",Закон 9533-18 от 2018-12-07,Закон,11.02.08.     Предоставление земельных участков
3033,630-ПК,29.03.2016,"О внесении изменений в Закон Пермского края ""Об установлении критериев, которым должны соответствовать объекты социально-культурного и коммунально-бытового назначения, масштабные инвестиционные проекты, для размещения (реализации) которых земельные участк",Закон 1334-16 от 2016-02-17,Закон,11.02.08.     Предоставление земельных участков
3034,530-ПК,10.09.2015,"О предоставлении некоммерческой организации, созданной Пермским краем или муниципальным образованием Пермского края для освоения территорий в целях строительства и эксплуатации наемных домов социального использования, земельного участка, находящегося в государственной или муниципальной собственности, в аренду без проведения торгов",Закон 3717-15 от 2015-04-29,Закон,11.02.08.     Предоставление земельных участков
3035,563-ПК,29.10.2015,"О внесении изменения в статью 5 Закона Пермского края ""О бесплатном предоставлении в собственность граждан земельных участков на территории Пермского края под индивидуальными либо блокированными жилыми домами""",Закон 8011-15 от 2015-10-06,Закон,11.02.08.     Предоставление земельных участков
3036,325-ПК,04.02.2019,"О внесении изменений в Закон Пермского края ""Об установлении критериев, которым должны соответствовать объекты социально-культурного и коммунально-бытового назначения, масштабные инвестиционные проекты, для размещения (реализации) которых земельные участки предоставляются в аренду без проведения торгов""",Закон 7912-18 от 2018-10-15,Закон,11.02.08.     Предоставление земельных участков
3037,75-ПК,29.04.2022,Об образовании нового муниципального образования Пермский муниципальный округ Пермского края,,Закон,01.04.   Территория
3038,64-ПК,22.03.2022,Об образовании нового муниципального образования Губахинский муниципальный округ Пермского края,,Закон,01.04.   Территория
3039,36-ПК,02.02.2022,О внесении изменений в отдельные законы Пермского края,Закон 6567-21 от 2021-10-15,Закон,01.04.   Территория
3040,,,О переименовании географического объекта на территории Березовского муниципального округа Пермского края,Закон 7357-21 от 2021-11-08,Закон,01.04.   Территория
3041,1815,21.05.2015,"Об информации Правительства Пермского края ""О мерах, принимаемых Правительством Пермского края по решению проблем Кизеловского угольного бассейна""",Постановление №4293-15 от 2015-05-21,Постановление,01.04.   Территория
3042,,,О присвоении наименования географическому объекту на территории Кудымкарского района Пермского края,Закон 1664-18 от 2018-03-05,Закон,01.04.   Территория
3043,2401,16.06.2016,"Об информации Правительства Пермского края ""О ходе реализации государственной программы Пермского края ""Региональная политика и развитие территорий""",Постановление №5056-16 от 2016-06-16,Постановление,01.04.   Территория
3044,211,19.01.2017,О представителях Законодательного Собрания Пермского края в квалификационной комиссии Адвокатской палаты Пермского края,Постановление №361-17 от 2017-01-18,Постановление,19.03.   Адвокатура
3045,1689,19.02.2015,О представителях Законодательного Собрания Пермского края в квалификационной комиссии Адвокатской палаты Пермского края,Постановление №919-15 от 2015-02-09,Постановление,19.03.   Адвокатура
3046,130-ПК,24.10.2022,"О внесении изменений в Закон Пермской области ""О физической культуре и спорте""",,Закон,14.02.   Физкультура и спорт
3047,42-ПК,09.03.2022,"О внесении изменений в Закон Пермской области ""О физической культуре и спорте""",,Закон,14.02.   Физкультура и спорт
3048,681-ПК,08.09.2021,"О внесении изменений в статью 2 Закона Пермской области ""О физической культуре и спорте""",Подготовка аннотации - Арнопольская Мария Михайловна - 809367,Закон,14.02.   Физкультура и спорт
